band_name,fans,formed,origin,style,split
Majestic,12,1997,Sweden,Power,-
Mencea,12,2004,Greece,Progressive death,2004
Minority Sound,12,2007,Czech Republic,Electronic industrial,-
Miserere Luminis,12,2008,Canada,Black,2008
Nebelhorn,12,2004,Germany,Viking black,-
Neonfly,12,2008,United Kingdom,Power,2008
No Return,12,1989,France,"Death,Thrash",-
Oathbreaker,12,2008,Belgium,"Black,Post-metal,Hardcore",2008
Obsidian,12,1997,The Netherlands,Progressive death,2012
Otargos,12,2001,France,Black,2001
Pegazus,12,1993,Australia,Heavy,-
Philip H. Anselmo & The Illegals,12,2011,USA,Sludge,2011
Porta Nigra,12,2010,Germany,"Avantgarde black,Doom",-
Portrait,12,2006,Sweden,Heavy,2006
Psychostick,12,2000,USA,"Groove thrash,Comedy",-
Razorwyre,12,2008,New Zealand,Thrash,2008
Salamandra,12,1998,Czech Republic,"Power,Speed",-
Sanctification,12,2001,Sweden,Death,2001
Sarpanitum,12,2003,United Kingdom,Brutal death,-
Scorpion Child,12,2006,USA,Hard rock,2006
Seven Witches,12,1998,USA,Heavy,-
Sivyj Yar,12,2006,Russia,Pagan black,2006
Soulgrind,12,1992,Finland,"Black,Gothic",-
Spires,12,2008,United Kingdom,Extreme progressive,2008
Spiritus Mortis,12,1987,Finland,Doom,-
Survivor,12,1976,USA,Heavy,1976
Survivors Zero,12,2006,Finland,Melodic death,-
Symbyosis,12,1998,France,Progressive death,1998
Tarantula,12,1981,Portugal,"Power,Heavy",-
Temple Of Baal,12,1998,France,Black,1998
The Fading,12,2006,Israel,Melodic death,-
The Safety Fire,12,2006,United Kingdom,Progressive,2006
Theudho,12,2003,Belgium,Pagan black,-
Thrown To The Sun,12,2010,Turkey,Progressive death,2010
Torture Division,12,2007,Sweden,Death,2014
Unearthly Trance,12,2000,USA,"Doom,Sludge",2000
V8,12,1979,Argentina,Heavy,1987
White Walls,12,2009,Romania,Progressive,2009
Wilds Forlorn,12,2008,The Netherlands,"Atmospheric black,Depressive black",-
Winter In Eden,12,2007,United Kingdom,Symphonic gothic,2007
Woe,12,2007,USA,Black,-
5ive,11,2000,USA,"Sludge,Post-metal",2000
Abgott,11,1997,United Kingdom,Black,-
Abiotic,11,2010,USA,"Progressive deathcore,Technical death",2010
Abske Fides,11,2003,Brazil,"Funeral doom,Death doom",-
Across The Sun,11,2004,USA,Metalcore,2004
Aeba,11,1992,Germany,Black,2013
Aeon Of Horus,11,2006,Australia,"Progressive death,Technical death",2006
Agonizer,11,1998,Finland,Heavy,-
Akrea,11,2005,Germany,Melodic death,2005
Alterbeast,11,2013,USA,Technical death,-
Ancestral Legacy,11,1995,Norway,"Symphonic black,Gothic",1995
Animations,11,2007,Poland,"Progressive,Progressive death,Metalcore",-
Antropomorphia,11,1989,The Netherlands,Death,1989
Argus Megere,11,2005,Romania,Black,-
Arwen,11,1996,Spain,"Power,Progressive",1996
Astra (USA),11,2006,USA,"Progressive rock,Psychedelic rock",-
Audrey Horne,11,2002,Norway,"Hard rock,Alternative rock",2002
Black Tongue,11,2013,United Kingdom,Deathcore,-
Black Witchery,11,1991,USA,"Black,Death",1991
Blood Feast,11,1986,USA,"Death,Thrash",-
Blood Of Kingu,11,2005,Ukraine,Black,2005
Bonfire,11,1985,Germany,"Hard rock,Heavy",-
Canopy,11,2002,Sweden,Melodic death,2002
Creation's End,11,2003,USA,Progressive,-
Cronian,11,2005,Norway,Progressive,2005
Crystal Ball,11,1995,Switzerland,Power,-
Dark Quarterer,11,1974,Italy,"Heavy,Progressive,Hard rock",1974
Dead To A Dying World,11,2010,USA,"Blackened doom,Sludge,Crust,Punk",-
Desecravity,11,2007,Japan,"Technical death,Brutal death",2007
Duskmourn,11,2012,USA,"Folk,Melodic death",-
Dylath-Leen,11,1999,France,Melodic death,1999
Elfonía,11,2001,Mexico,"Progressive,Progressive rock",2006
Enforsaken,11,1998,USA,Gothenburg,1998
Eschatos,11,2012,Latvia,Progressive black,-
Ethereal Shroud,11,2013,United Kingdom,"Black,Funeral doom",2013
Evertale,11,2007,Germany,"Power,Heavy",-
Farsot,11,1999,Germany,Black,1999
Faustcoven,11,2002,Norway,"Black,Doom",-
Fear Of Eternity,11,2000,Italy,Atmospheric black,2000
Fleshgrind,11,1993,USA,Death,2005
Frantic Amber,11,2008,Sweden,Melodic death,2008
Fukpig,11,2001,United Kingdom,"Black,Crust,Punk",-
Fungoid Stream,11,2003,Argentina,Funeral doom,2003
Gaia Epicus,11,1992,Norway,Power,-
Golem,11,2000,Italy,Melodic death,2000
Gyze,11,2009,Japan,Extreme power,-
Headhunter,11,1989,Germany,"Power,Thrash",1989
Hexx,11,1983,USA,"Us power,Speed,Thrash",-
Himinbjorg,11,1996,France,Pagan black,1996
Horn,11,2003,Germany,Black,-
House Of Lords,11,1988,USA,Hard rock,1988
In Lingua Mortua,11,1999,Norway,Melodic black,-
Iniquity,11,1989,Denmark,Technical death,1989
Iron Angel,11,1980,Germany,"Power,Speed,Thrash,Heavy",-
Ironsword,11,1995,Portugal,Heavy,1995
Irreversible,11,2005,USA,Atmospheric sludge,2015
IXXI,11,2006,Sweden,Black,2006
Liturgy (US-NY),11,2005,USA,Experimental black,-
Lycanthia,11,1996,Australia,"Death doom,Gothic doom",1996
Malpractice,11,1994,Finland,"Thrash,Progressive",-
Memoira,11,2007,Finland,Gothic,2007
Messenger,11,1990,Germany,Heavy,-
Mindflow,11,2003,Brazil,Progressive,2003
Morifade,11,1992,Sweden,Power,-
Mortem,11,1986,Peru,Death,1986
Mournful Gust,11,1999,Ukraine,"Death doom,Gothic",-
Nidingr,11,1992,Norway,Black,1992
Nominon,11,1993,Sweden,"Blackened death,Death",-
Nylithia,11,2008,Canada,Thrash,2008
Omb,11,2009,Israel,"Progressive,Avantgarde",-
Omega Massif,11,2005,Germany,Sludge,2005
Pain Confessor,11,2002,Finland,Melodic death,-
Phobia,11,1990,USA,Grindcore,1990
Pitchshifter,11,1989,United Kingdom,"Industrial,Alternative",-
Power Symphony,11,1994,Italy,Power,1994
Puteraeon,11,2008,Sweden,Death,-
Radiance (FIN),11,2007,Finland,"Progressive,Math",2007
Radogost,11,2006,Poland,Folk,-
Rwake,11,1996,USA,"Doom,Sludge",1996
Sacred Steel,11,1997,Germany,"Heavy,Power",-
Samhain,11,1983,USA,"Death rock,Hard rock,Horror,Punk",1983
Sanatorium,11,1987,Macedonia,"Speed,Thrash",-
Serenity In Murder,11,2009,Japan,"Symphonic black,Symphonic death",2009
Shadow,11,1993,Japan,Melodic death,-
Shadowsphere,11,2000,Portugal,Gothenburg,2000
Shattered Skies,11,2011,Ireland,"Progressive,Djent",-
Shear,11,2008,Finland,Power,2008
Soilent Green,11,1988,USA,"Sludge,Grindcore",-
Steel Prophet,11,1983,USA,Us power,1983
Sumac,11,2014,USA,"Post-metal,Sludge",-
Sworn Enemy,11,1997,USA,"Metalcore,Hardcore",1997
Sylvaine,11,2013,Norway,"Atmospheric black,Shoegaze",-
Tears Of Martyr,11,1996,Spain,Gothic,1996
Tempel,11,2003,USA,"Extreme progressive,Instrumental",-
The Great Kat,11,1986,USA,"Neoclassical heavy,Speed,Thrash",1986
Thunder,11,1989,United Kingdom,Hard rock,-
Twilight Guardians,11,1996,Finland,Power,1996
Twilight Of The Gods,11,2010,,Heavy,-
Vanguard,11,1999,Finland,Gothic,1999
Viking,11,1985,USA,Thrash,-
Virgin Snatch,11,2001,Poland,"Thrash,Groove thrash",2001
Weeping Birth,11,1999,Switzerland,"Brutal death,Black",-
With The Dead,11,2014,United Kingdom,"Doom,Stoner",2014
Wolvhammer,11,2008,USA,Blackened sludge,-
Zhrine,11,2015,Iceland,Death,2015
Zyklon-B,11,1995,Norway,Black,1999
Àrsaidh,10,2012,United Kingdom,"Atmospheric black,Folk",2012
6:33,10,2010,France,"Alternative,Avantgarde",-
A Dream Of Poe,10,2005,"Portugal, United Kingdom","Doom,Gothic",2005
A Million Dead Birds Laughing,10,2008,Australia,"Technical death,Grindcore",-
Abattoir,10,1982,USA,Speed,1982
Abstract Spirit,10,2006,Russia,Funeral doom,-
Adimiron,10,1999,Italy,"Melodic death,Melodic black,Progressive death,Thrash",1999
After Oblivion,10,2007,Bosnia and Herzegovina,Technical thrash,-
Against The Plagues,10,2005,USA,"Symphonic black,Melodic death",2005
Alaskan,10,2008,Canada,Sludge,-
Alpine Fault,10,2005,Australia,Melodic progressive,2005
Alunah,10,2006,United Kingdom,"Doom,Stoner",-
Andras,10,1994,Germany,"Black,Pagan black",1994
Anomalie,10,2011,Austria,"Black,Post-metal",-
Atrocious Abnormality,10,2006,USA,Brutal death,2006
Autumn's Dawn,10,2013,Australia,Depressive black,-
Betzefer,10,1997,Israel,"Death,Sludge",1997
Blaakyum,10,1995,Lebanon,"Doom,Thrash,Heavy,Progressive",-
Brimstone Coven,10,2011,USA,"Doom,Stoner rock",2011
Casketgarden,10,1998,Hungary,Thrash,2012
Catalepsia,10,2005,Latvia,Gothic doom,2005
Cautiva,10,2007,Spain,"Thrash,Progressive",-
Celestial Crown,10,1999,Estonia,"Black,Gothic doom",1999
Cnoc An Tursa,10,2006,United Kingdom,"Folk,Black",-
Cult Of Herodias,10,2012,USA,Doom,2012
D'espairsRay,10,1999,Japan,"Industrial,J rock",2011
Dark At Dawn,10,1993,Germany,Power,1993
Dawn Of Azazel,10,1997,New Zealand,Death,-
Dawn Of Disease,10,2003,Germany,Death,2003
Dawnless,10,2003,Switzerland,"Heavy,Power",-
Death Fetishist,10,2015,USA,Psychedelic black,2015
Dee Snider,10,1997,USA,Heavy,-
Defiled,10,1992,Japan,Brutal death,1992
Defleshed,10,1991,Sweden,"Death,Thrash",2005
Demisery,10,2011,USA,Death,2011
Diathra,10,1995,Belarus,"Doom,Gothic",-
Diocletian,10,2004,New Zealand,"Black,Death",2004
Disentomb,10,2009,Australia,Brutal death,-
Disforia,10,2007,USA,"Power,Progressive",2007
Disharmonic Orchestra,10,1987,Austria,"Death,Grindcore,Avantgarde,Progressive",-
Dissenter,10,1989,Poland,Brutal death,1989
Divine Empire,10,1997,USA,"Death,Thrash",-
Dreamaker,10,2003,Spain,"Power,Thrash",2003
Dreaming Dead,10,2006,USA,"Death,Thrash",-
Dyrathor,10,2006,Germany,Pagan folk,2006
Dyscordia,10,2010,Belgium,Progressive,-
Dysrhythmia,10,1998,USA,Technical progressive,1998
Ebonylake,10,1997,United Kingdom,"Avantgarde,Black",-
Embryonic Devourment,10,2002,USA,"Brutal death,Grindcore",2002
Emeth,10,1997,Belgium,"Death,Brutal death,Technical death",-
Eternal Gray,10,2001,Israel,"Technical death,Melodic death",2001
Fall Of Serenity,10,1998,Germany,"Gothenburg,Death",-
Faster Pussycat,10,1986,USA,"Hard rock,Glam",1986
Fjorsvartnir,10,2007,Denmark,Melodic black,-
Gadget,10,1999,Sweden,Grindcore,1999
Gates Of Winter,10,2003,Canada,Symphonic progressive,-
Geezer,10,1985,USA,"Heavy,Industrial heavy",1985
Ghost Machinery,10,2002,Finland,Power,-
Girugämesh,10,2003,Japan,"J rock,Alternative,Power",2003
Godkiller,10,1994,Monaco,"Death,Black,Industrial black,Electronic,Metal",-
Grave Flowers,10,1993,Sweden,Doom,1993
Guillotine,10,1995,Sweden,Thrash,-
Halloween,10,1981,USA,Heavy,1981
Heidra,10,2006,Denmark,Viking folk,-
Hollow Haze,10,2003,Italy,Progressive heavy,2003
Irreversible Mechanism,10,2012,Belarus,"Technical death,Symphonic death",-
Ivory Tower,10,1996,Germany,"Progressive,Power",1996
Kabát,10,1983,Czech Republic,"Thrash,Melodic heavy,Hard rock",-
Lana Lane,10,1995,USA,Progressive,1995
Lay Down Rotten,10,1999,Germany,Death,2015
Light Bearer,10,2010,United Kingdom,"Post-metal,Sludge",2010
Livsnekad,10,2007,Sweden,"Black,Doom",2012
Lord Dying,10,2010,USA,Sludge,2010
Luciferian Light Orchestra,10,2014,Sweden,Psychedelic rock,-
Ludicra,10,1998,USA,Black,1998
Lunaris,10,1998,Norway,Progressive black,-
McAuley Schenker Group,10,1986,Germany,"Hard rock,Glam",1986
Miasmal,10,2007,Sweden,Death,-
Misery Loves Co.,10,1993,Sweden,"Industrial,Alternative",1993
Monolord,10,2013,Sweden,"Stoner,Doom",-
Mortillery,10,2008,Canada,Thrash,2008
Morton,10,2009,Ukraine,"Heavy,Power",-
Mythological Cold Towers,10,1994,Brazil,Doom,1994
Neuromist,10,2004,Moldova,Progressive death,-
Night Of Suicide,10,2005,The Netherlands,Funeral doom,2005
Nine Treasures,10,2011,China,Folk,-
Noisem,10,2013,USA,"Death,Thrash",2013
Nordheim,10,2006,Canada,"Blackened folk,Melodic death",-
Northlane,10,2009,Australia,Progressive metalcore,2009
Opprobrium,10,1999,USA,"Death,Thrash",-
Orakle,10,1994,France,"Atmospheric black,Avantgarde",1994
Ortega,10,2007,The Netherlands,"Doom,Sludge",-
Outcast,10,1998,France,"Progressive thrash,Progressive death",1998
Potentiam,10,1997,Iceland,"Avantgarde black,Blackened death,Suomi",-
Prey For Nothing,10,2005,Israel,Melodic death,2005
Razor Of Occam,10,1998,Australia,"Black,Thrash",-
Satura,10,2008,Iran,"Metalcore,Groove thrash",2008
Scream Silence,10,1998,Germany,Gothic,-
Secrets Of The Sky,10,2010,USA,"Black,Doom",2010
Sight Of Emptiness,10,2005,Costa Rica,Gothenburg,-
Syn Ze ?ase Tri,10,2007,Romania,Symphonic black,2007
Tales Of Dark...,10,2001,Serbia,"Death doom,Gothic",-
The Interbeing,10,2006,Denmark,Industrial,2006
The Poodles,10,2005,Sweden,"Glam,Melodic heavy,Hard rock",-
The Resistance,10,2011,Sweden,Death,2011
Thränenkind,10,2007,Germany,"Black,Post-punk",-
Twilight,10,2004,USA,Black,2004
Valient Thorr,10,2000,USA,Heavy,-
Waldgeflüster,10,2005,Germany,Black,2005
Waning,10,2007,Sweden,Progressive black,2016
Wind Rose,10,2009,Italy,"Progressive,Power",2009
Within Y,10,2002,Sweden,Melodic death,-
Abandoned,9,1999,Germany,Thrash,1999
Abidetherein,9,2010,Syria,"Black,Folk",-
Abscess,9,1994,USA,Death,1994
Acid Reign,9,1985,United Kingdom,Thrash,-
Afgrund,9,2006,Sweden,"Grindcore,Crust punk",2006
Alpha Tiger,9,2007,Germany,"Thrash,Power",-
Anup Sastry,9,2012,USA,"Progressive,Djent,Instrumental",2012
Arbor,9,2011,USA,"Doom,Folk,Progressive",-
Arrow Haze,9,2011,Belgium,Hard rock,2011
Arsafes,9,2009,Russia,"Extreme progressive,Industrial",-
As You Drown,9,2001,Sweden,"Death,Deathcore",2001
Bare Infinity,9,2003,Greece,Symphonic power,-
Beneath,9,2007,Iceland,Technical death,2007
Cadavrul,9,2005,Romania,Death,-
Cangaço,9,2010,Brazil,Progressive death,2010
Cans,9,2003,Sweden,Heavy,-
Cardiant,9,2000,Finland,Power,2000
Carnophage,9,2006,Turkey,"Technical death,Brutal death",-
Catharsis,9,1996,Russia,"Doom,Neoclassical power",1996
Celestial Season,9,1991,The Netherlands,"Death,Doom,Stoner",-
Chain Reaction,9,2002,Poland,Groove thrash,2002
Chris Caffery,9,2003,USA,Progressive power,-
Confessor,9,1986,USA,Doom,1986
Crown,9,2011,France,"Doom,Sludge",-
Diminished,9,2005,USA,"Brutal death,Grindcore",2005
Dirge Within,9,2007,USA,"Thrash,Metalcore",2013
Discordance Axis,9,1992,USA,Grindcore,1992
Divlje Jagode,9,1976,"Bosnia and Herzegovina, Croatia","Heavy,Hard rock",-
Domovoyd,9,2010,Finland,Psychedelic stoner,2010
Dotma,9,2005,Finland,Symphonic power,-
Drautran,9,1996,Germany,Black,1996
Ebony Ark,9,2002,Spain,"Power,Progressive",-
Echoterra,9,2007,USA,Symphonic,2007
Ecnephias,9,1996,Italy,"Blackened death,Doom,Gothic death",-
Eden Circus,9,2010,Germany,"Alternative,Progressive,Post-metal",2010
Emir Hot,9,2007,Bosnia and Herzegovina,Progressive,-
Enthrallment,9,1998,Bulgaria,Brutal death,1998
Eudaimony,9,2007,Germany,"Post-metal,Black",-
Evil Invaders,9,2007,Belgium,"Speed,Thrash",2007
Exsecratus,9,2004,Finland,"Melodic death,Gothic",2013
Fogalord,9,2007,Italy,"Power,Symphonic",2007
Graves At Sea,9,2002,USA,"Doom,Sludge",-
Heir Apparent,9,1983,USA,Progressive,1983
Hevisaurus,9,2009,Finland,"Heavy,Power",-
Hjarnidaudi,9,2005,Norway,Drone doom,2005
Hope For The Dying,9,2006,USA,Progressive death,-
Horde,9,1994,Australia,Black,1994
Human Mincer,9,1996,Spain,Brutal death,-
Icon & The Black Roses,9,1999,Portugal,Gothic,1999
Illuminandi,9,1998,Poland,Gothic folk,-
Inner Sanctum,9,2006,India,"Death,Thrash",2006
Innosense,9,2005,Greece,Melodic progressive,-
Iris,9,1977,Romania,Hard rock,1977
Japanische Kampfhörspiele,9,1998,Germany,Grindcore,-
Jucifer,9,1993,USA,"Alternative rock,Sludge,Alternative,Noise",1993
Khthoniik Cerviiks,9,2013,Germany,"Black,Death",-
Latitudes,9,2006,United Kingdom,"Post-metal,Sludge",2006
Los Random,9,2009,Argentina,"Progressive,Avantgarde",-
Loss (USA),9,2003,USA,Funeral doom,2003
Mastercastle,9,2008,Italy,Heavy,-
Memory Garden,9,1992,Sweden,"Heavy,Doom",1992
Moby Dick,9,1980,Hungary,Thrash,-
Moonlight Agony,9,1999,Sweden,Power,1999
Mordred,9,1984,USA,"Thrash,Funk rock",-
Mortals,9,2009,USA,"Sludge,Hardcore,Blackened sludge,Punk",2009
Naðra,9,2008,Iceland,Black,-
Narrow House,9,2008,Ukraine,"Funeral doom,Doom",2008
Nemertines,9,2009,Russia,"Progressive math,Djent",-
Nhor,9,2009,United Kingdom,"Atmospheric black,Doom,Ambient,Folk",2009
Nucleus Torn,9,1997,Switzerland,"Alternative,Neofolk",-
Oak Pantheon,9,2011,USA,"Melodic black,Post-metal",2011
Oracles,9,2014,Belgium,"Melodic death,Symphonic",-
Ordinance,9,2009,USA,"Progressive death,Technical death",2009
Paganizer,9,1998,Sweden,Death,-
Pandemia,9,1995,Czech Republic,Death,1995
Pantheon I,9,2002,Norway,Black,-
Pantommind,9,1993,Bulgaria,Progressive,1993
Rebel Meets Rebel,9,1999,USA,"Heavy,Country",2004
Ribspreader,9,2002,Sweden,Death,2002
Sacred Oath,9,1985,USA,"Us power,Heavy",-
Samsara Blues Experiment,9,2007,Germany,Stoner,2007
Satyrian,9,2004,The Netherlands,Gothic,-
Savn,9,2013,Norway,Symphonic gothic,2013
Sole Remedy,9,1998,Finland,Atmospheric progressive,-
Sorcerer,9,1988,Sweden,Epic doom,1988
Sortilège,9,1981,France,Heavy,1986
Soulitude,9,2006,Spain,Power,2006
Stille Volk,9,1994,France,Medieval folk,-
Subversion,9,2008,United Kingdom,"Melodic death,Symphonic,Djent",2008
Success Will Write Apocalypse Across The Sky,9,2006,USA,Deathgrind,-
Taak,9,2005,Estonia,Doom,2005
Terhen,9,2004,Finland,Atmospheric doom,-
The Bereaved,9,1998,Sweden,Gothenburg,1998
The Crest,9,1996,Norway,"Gothic,Gothic rock",2010
The Graviators,9,2009,Sweden,"Stoner,Doom",2009
Thee Orakle,9,2004,Portugal,"Progressive death,Gothic",2013
Timeghoul,9,1987,USA,Progressive death,1987
Uada,9,2014,USA,Black,-
Vengeful,9,2003,Canada,Technical death,2003
Vermin Womb,9,2014,USA,"Death,Grindcore",-
Victory,9,1984,Germany,Heavy,1984
Visigoth,9,2010,USA,"Heavy,Power",-
Winterhymn,9,2010,USA,Folk,2010
Aberrant Vascular,8,2003,Finland,"Avantgarde,Symphonic",-
Acacia,8,2012,Sweden,"Black,Doom",2012
Advent Of Bedlam,8,2009,Costa Rica,"Melodic death,Death",-
Age Of Taurus,8,2009,United Kingdom,Doom,2009
Agrimonia,8,2005,Sweden,"Post-metal,Sludge,Crust punk",-
Akroma,8,2003,France,"Progressive black,Symphonic black",2003
Aldious,8,2008,Japan,Power,-
Almyrkvi,8,2014,Iceland,Black,2014
Another Messiah,8,2003,The Netherlands,"Post-metal,Doom",2009
Apostasy,8,2000,Sweden,Black,2000
Arida Vortex,8,1998,Russia,Power,-
Asylum Pyre,8,2003,France,"Progressive,Power",2003
Bane Of Winterstorm,8,2009,Australia,Symphonic power,-
Below The Sun,8,2012,Russia,Funeral doom,2012
Bestia,8,2000,Estonia,"Blackened death,Pagan black",-
Black Fate,8,1990,Greece,"Power,Progressive",1990
Born From Pain,8,1997,The Netherlands,"Hardcore,Metalcore",-
Britny Fox,8,1986,USA,"Hard rock,Glam",1986
Cenotaph,8,1989,Mexico,Death,2002
Ceremonial Perfection,8,2007,Estonia,Melodic death,2007
Clandestine Blaze,8,1998,Finland,Black,-
Consciousness Removal Project,8,2004,Finland,Post-metal,2004
Coram Lethe,8,1999,Italy,Melodic death,-
Crimson Swan,8,2010,Germany,"Gothic doom,Death doom",2010
Crossfire,8,1998,Turkey,"Power,Thrash",-
Crypt Sermon,8,2013,USA,Doom,2013
Dagor Dagorath,8,2003,Israel,"Symphonic black,Death",-
Dark Sarah,8,2012,Finland,"Gothic,Symphonic",2012
Darkend,8,2006,Italy,Symphonic black,-
Deathbound,8,1995,Finland,"Death,Grindcore",1995
Deivos,8,1997,Poland,Death,-
Dephosphorus,8,2008,Greece,"Blackened death,Grindcore",2008
Descend Into Despair,8,2010,Romania,Funeral doom,-
Destrose,8,2005,Japan,Heavy,2005
Destructor,8,1984,USA,"Us power,Thrash",-
Devathorn,8,2002,Greece,Black,2002
Diskord,8,1999,Norway,"Progressive death,Technical death",-
Dragon Guardian,8,2006,Japan,Symphonic power,2006
Drone,8,2004,Germany,Nu thrash,-
Dusk,8,1993,USA,Death doom,1993
E-an-na,8,2014,Romania,Folk,-
Enid,8,1997,Germany,Symphonic black,1997
Ensoph,8,1997,Italy,"Avantgarde,Gothic",-
Epizod,8,1988,Bulgaria,Heavy,1988
Evenfall,8,1997,Italy,Gothic,-
Fairytale Abuse,8,1995,Denmark,Melodic black,1995
Fear Of God,8,1989,USA,Thrash,1996
Fit For An Autopsy,8,2008,USA,Deathcore,2008
Fleshgore,8,2000,Ukraine,Brutal death,-
Full Of Hell,8,2009,USA,"Grindcore,Hardcore,Punk",2009
Gallows End,8,2007,Sweden,Heavy,-
Gaza,8,2004,USA,Grindcore,2004
Gothmog,8,2005,Spain,"Melodic black,Symphonic black",2012
Greymachine,8,2009,United Kingdom,"Experimental industrial,Avantgarde",2009
Hacktivist,8,2011,United Kingdom,"Nu,Djent,Rap",-
Hansen & Friends,8,2016,Germany,"Heavy,Power",2016
Heliosaga,8,2010,USA,Symphonic power,-
Hellbringer,8,2010,Australia,"Thrash,Speed",2010
Hellish Crossfire,8,2002,Germany,Blackened thrash,-
Helms Alee,8,2007,USA,"Sludge,Noise rock,Post-hardcore",2007
Horisont,8,2006,Sweden,Hard rock,-
I Am I,8,2012,United Kingdom,"Heavy,Power",2012
Imagika,8,1993,USA,"Thrash,Us power",2011
Imperial Crystalline Entombment,8,2003,USA,Black,2003
Infected Rain,8,2008,Moldova,Nu,-
Inverloch,8,2011,Australia,Death doom,2011
Invocator,8,1986,Denmark,"Speed,Technical thrash",-
Jack Frost,8,1989,Austria,"Doom,Gothic doom",1989
Kamijo,8,2013,Japan,"Symphonic power,J rock",-
Karybdis,8,2009,United Kingdom,"Melodic death,Thrash",2009
Kill The Client,8,2002,USA,Grindcore,-
Kingfisher Sky,8,2001,The Netherlands,"Gothic,Progressive rock",2001
Lyria,8,2012,Brazil,"Symphonic,Alternative",-
Lyzanxia,8,1996,France,Thrash,1996
Manimal,8,2001,Sweden,Power,-
Mares Of Thrace,8,2009,Canada,"Sludge,Doom",2009
Marriages,8,2011,USA,Alternative,-
Martyrdöd,8,2001,Sweden,"Crust punk,D-beat",2001
Masacre (COL),8,1988,Colombia,Death,-
May Result,8,1995,Serbia,Black,1995
Melted Space,8,2007,France,"Symphonic,Ambient,Neoclassical",-
Mirzadeh,8,2000,Finland,Melodic black,2000
Moss,8,2000,United Kingdom,"Drone doom,Doom,Sludge",-
My Lament,8,2002,Belgium,"Gothic doom,Death doom",2002
Nachtgeschrei,8,2006,Germany,Folk,-
Natan,8,2002,Belgium,Pagan black,2002
Neglected Fields,8,1995,Latvia,Technical death,-
Nehëmah,8,1992,France,Black,1992
Oath To Vanquish,8,2001,Lebanon,"Black,Death",-
Obsidian Gate,8,1994,Germany,Symphonic black,1994
Phazm,8,2003,France,"Death ',N',Roll",-
Place Of Skulls,8,2000,USA,Doom,2000
Plague Widow,8,2011,USA,Deathgrind,-
Platitude,8,1995,Sweden,Neoclassical power,1995
Primitive Graven Image,8,2006,United Kingdom,Black,-
Putridity,8,2005,Italy,Brutal death,2005
Ravage,8,1995,USA,Heavy,-
Rebaelliun,8,1998,Brazil,Death,1998
Recueil Morbide,8,2000,France,Brutal death,-
Red Descending,8,2003,Australia,Melodic death,2003
Resurrected,8,1993,Germany,Brutal death,-
Ross The Boss,8,2006,USA,"Heavy,Us power",2006
S.D.I.,8,1986,Germany,Speed,-
Sannhet,8,2010,USA,Experimental black,2010
Sarissa,8,1985,Greece,"Heavy,Power,Progressive",-
Sinmara,8,2008,Iceland,Black,2008
Sister,8,2006,Sweden,Glam,-
Slugathor,8,1999,Finland,Death,1999
Slumpark Correctional,8,2003,Syria,"Death,Thrash",-
Sorcier Des Glaces,8,1997,Canada,Black,1997
Southern Cross,8,2001,Canada,"Progressive,Progressive power",-
Space Eater,8,2004,Serbia,Thrash,2004
Spidkilz,8,2010,Italy,"Speed,Heavy,Thrash",-
Spirit Caravan,8,1996,USA,"Doom,Stoner",1996
Stabat Mater,8,2001,Finland,Funeral doom,-
Tantara,8,2009,Norway,Thrash,2009
Target,8,1986,Belgium,Progressive thrash,1990
Tau Cross,8,2014,United Kingdom,"Heavy,Crust,Punk",2014
Thaw,8,2010,Poland,"Experimental black,Ambient noise",-
The Final Harvest,8,2007,Finland,"Thrash,Melodic death",2007
The Kindred,8,2013,Canada,Progressive,-
The Neologist,8,2009,USA,Melodic death,2009
The Oath,8,2012,Germany,"Doom,Hard rock",2014
The Secret,8,2003,Italy,"Black,Grindcore,Metalcore",2003
The Wounded Kings,8,2005,United Kingdom,Doom,2016
The Zenith Passage,8,2012,USA,Technical death,2012
Thrashless,8,2010,Estonia,Thrash,-
Twisted Tower Dire,8,1995,USA,Us power,1995
Unseen Terror,8,1986,United Kingdom,"Death,Thrash,Grindcore",1990
Urkraft,8,1995,Denmark,"Melodic death,Thrash",1995
VI,8,2007,France,Black,-
Vola,8,2005,Denmark,"Djent ,Progressive,Progressive rock",2005
Volahn,8,2003,USA,Black,-
Volturyon,8,2005,Sweden,Death,2005
Vorum,8,2006,Finland,Death,-
Way To End,8,2006,France,Avantgarde black,2006
White Empress,8,2013,USA,Extreme symphonic,-
Winterage,8,2008,Italy,"Power,Symphonic",2008
Wolfbrigade,8,1995,Sweden,Crust punk,-
X-Panda,8,2009,Estonia,"Progressive,Jazz fusion",2009
Young And In The Way,8,2009,USA,"Black,Crust,Punk",-
Zandelle,8,1996,USA,"Heavy,Power",1996
Zuul Fx,8,2003,France,"Death,Thrash",-
?,7,2012,Iceland,"Depressive black,Doom",2012
0 X í S T,7,2008,Finland,Death doom,2016
7th Reign,7,2005,Canada,Progressive power,2005
A Sense Of Gravity,7,2011,USA,Progressive math,-
Abonos,7,1999,Serbia,Gothic,1999
Abused Majesty,7,1998,Poland,"Symphonic black,Death",-
Adastreia,7,2004,United Kingdom,"Gothic,Symphonic",2004
ADX,7,1982,France,Speed,-
Aegaeon,7,2008,USA,Deathcore,2008
Aethyr,7,2014,Spain,"Melodic death,Folk",-
After All,7,1987,Belgium,Thrash,1987
